Dayde = D,Omar = O,Jacob = J,Chedy = Cs,Chengrong = Cz,,,,
Sprint Velocity: 25 story points per sprint,,,,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25
User Story,Task,Dependencies,Story Points,1,2,3,4,5
1,1,,1,,,,,
1,2,1,1,,,,,
1,3,,1,,,,,
1,4,"1,3",2,,,,,
1,5,"1, 2, 3",2,,,,,
2,6,"1, 2, 3",3,,,,,
2,7,"1, 2, 3",3,,,,,
3,8,"2, 4",2,,,,,
3,9,"1, 2, 3",2,,,,,
4,10,7,1,,,,,
4,11,"1, 2, 3",2,,,,,
5,12,7,2,,,,,
5,13,,1,,,,,
5,14,13,1,,,,,
5,15,"16, 19, 22",3,,,,,
5,16,18,1,,,,,
5,17,,1,,,,,
5,18,17,2,,,,,
5,19,,1,,,,,
5,20,,1,,,,,
5,21,20,2,,,,,
5,22,,1,,,,,
5,23,,1,,,,,
5,24,23,1,,,,,
6,25,,1,,,,,
6,26,,3,,,,,
6,27,26,2,,,,,
6,28,26,2,,,,,
6,29,26,2,,,,,
6,30,"14, 26",1,,,,,
6,31,28,2,,,,,
7,32,13,1,,,,,
7,33,20,2,,,,,
7,34,23,1,,,,,
8,35,26,3,,,,,
7,36,,4,,,,,
8,37,29,2,,,,,
8,38,28,2,,,,,
9,39,,1,,,,,
9,40,,1,,,,,
9,41,,1,,,,,
9,42,,2,,,,,
9,43,,2,,,,,
9,44,,2,,,,,
12,45,,4,,J:2,J:2,,
12,46,,6,,D:2,D:2,D:2,
12,47,,4,,,,D:2,D:2
12,48,,3,,,Cs:2,Cs:1,
12,49,,3,,Cz:3,,,
12,50,,3,,,Cz:1,Cz:1,Cz:1
9,51,,6,,,,,
11,52,,1,,,,,
7,53,,3,,,,,
12,54,,5,,O:2,O:2,O:1,
12,55,,3,,,,O:1,O:2
--,Testing,,--,,,,J:2,J:2
--,Styling,,--,,,,Cs:2,Cs:2
